company_name,letter_date,application_number,product_type,file_name,ticker,market_reaction_date,announcement_time,market_cap_group,alive_ticker,keep_for_v2,exclude_reason,verification_notes
Xspray Pharma AB,10/07/2025,NDA 216195,COMPLETE RESPONSE,CRL_NDA216195_20251007.pdf,,,,,,,,
"Scholar Rock, Inc.",09/22/2025,BLA 761463,COMPLETE RESPONSE,CRL_BLA761463_20250922.pdf,,,,,,,,
"Fresenius Kabi USA, LLC",04/25/2025,NDA 215818,COMPLETE RESPONSE,CRL_NDA215818_20250425.pdf,,,,,,,,
Genzyme Corporation,12/23/2025,NDA 219624,COMPLETE RESPONSE,CRL_NDA219624_20251223.pdf,,,,,,,,
"Capricor, Inc.",07/09/2025,BL 125842,COMPLETE RESPONSE,CRL_BLA125842_20250709.pdf,,,,,,,,
GlaxoSmithKline LLC,10/23/2025,BLA 761440/Original 2,COMPLETE RESPONSE,CRL_BLA761440_20251023.pdf,,,,,,,,
"Vyluma, Inc.",08/27/2025,NDA 217711,COMPLETE RESPONSE,CRL_NDA 217711_20250827.pdf,,,,,,,,
"Amneal EU, Limited",04/02/2025,NDA 218345,COMPLETE RESPONSE,CRL_NDA218345_20250402.pdf,,,,,,,,
"Outlook Therapeutics, Inc.",08/27/2025,BLA 761320,COMPLETE RESPONSE,CRL_BLA761320_20250827.pdf,,,,,,,,
"Dr. Reddy’s Laboratories, Inc.",12/30/2025,BLA 761471,COMPLETE RESPONSE,CRL_BLA761471_20251230.pdf,,,,,,,,
"MedicaSafe, Inc.",12/22/2025,NDA 220184,COMPLETE RESPONSE,CRL_NDA220184_20251222.pdf,,,,,,,,
SYDNEXIS Inc.,10/22/2025,NDA 219694,COMPLETE RESPONSE,CRL_NDA219694_20251022.pdf,,,,,,,,
University of California San Francisco,04/25/2025,NDA 218353,COMPLETE RESPONSE,CRL_NDA218353_20250425.pdf,,,,,,,,
"LIB Therapeutics, Inc.",12/12/2025,BLA 761427/Original 2,COMPLETE RESPONSE,CRL_BLA761427_20251212.pdf,,,,,,,,
Heritage Pharmaceuticals Inc. d/b/a/ Avet Pharmaceuticals Inc.,07/28/2025,NDA 205508,COMPLETE RESPONSE,CRL_NDA205508_20250728.pdf,,,,,,,,
"Chemo Research, S.L.",05/29/2025,NDA 219029,COMPLETE RESPONSE,CRL_NDA219029_20250529.pdf,,,,,,,,
Unicycive Therapeutics Inc.,06/27/2025,NDA 218607,COMPLETE RESPONSE,CRL_NDA218607_20250627.pdf,,,,,,,,
"Hospira, Inc.",01/17/2025,NDA 219112,COMPLETE RESPONSE,CRL_NDA219112_20250117.pdf,,,,,,,,
Alvotech USA Inc.,11/26/2025,BLA 761461,COMPLETE RESPONSE,CRL_BLA761461_20251126.pdf,,,,,,,,
